Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,New York,Albany,5,6,2016,55.3
North America,US,New York,Albany,10,27,2013,46.9
North America,US,Rhode Island,Rhode Island,2,5,2011,26.6
North America,US,Minnesota,Duluth,4,26,2020,44.1
North America,US,Kentucky,Lexington,8,7,2010,74.0
North America,US,New York,Albany,4,24,2017,56.6
North America,US,California,Fresno,11,24,2013,53.8
South/Central America & Carribean,Nicaragua,,Managua,4,4,2015,85.8
Middle East,Oman,,Muscat,12,19,2016,75.6
North America,US,South Dakota,Sioux Falls,1,21,2018,34.5
North America,US,Ohio,Akron Canton,10,24,2012,66.6
North America,US,Kentucky,Louisville,11,30,2013,39.4
North America,US,Alabama,Huntsville,8,24,2015,79.6
Middle East,Turkey,,Istanbul,12,6,2015,47.3
Asia,Hong Kong,,Hong Kong,7,16,2011,82.6
North America,Canada,,Toronto,6,25,2010,67.8
South/Central America & Carribean,Nicaragua,,Managua,12,1,2018,80.6
North America,US,Minnesota,Duluth,5,2,2015,61.1
Asia,Indonesia,,Jakarta,12,16,2013,82.4
Europe,Norway,,Oslo,3,6,2018,21.3
North America,US,Missouri,Kansas City,2,6,2014,1.6
Asia,China,,Beijing,6,24,2010,79.4
Australia/South Pacific,Australia,,Perth,7,31,2017,48.2
South/Central America & Carribean,Brazil,,Sao Paulo,12,12,2012,77.0
North America,US,Virginia,Roanoke,4,22,2014,65.6
South/Central America & Carribean,Honduras,,Tegucigalpa,10,3,2010,69.7
North America,US,Colorado,Colorado Springs,8,8,2017,60.0
Asia,China,,Guangzhou,1,27,2011,57.9
North America,US,Tennessee,Nashville,3,17,2010,48.7
South/Central America & Carribean,Brazil,,Rio de Janeiro,1,30,2018,76.0
North America,US,Michigan,Sault Ste Marie,9,12,2019,57.3
North America,US,Virginia,Roanoke,10,10,2014,59.5
North America,US,Ohio,Columbus,6,5,2011,75.2
Middle East,Turkey,,Istanbul,2,16,2013,40.3
North America,Canada,,Ottawa,8,24,2012,71.0
North America,US,Kentucky,Lexington,6,24,2016,75.0
North America,US,North Dakota,Fargo,10,21,2010,40.6
North America,US,Texas,Lubbock,12,13,2019,47.9
Europe,Russia,,Moscow,12,4,2010,23.0
North America,US,Kansas,Wichita,5,21,2019,59.6
North America,US,South Carolina,Columbia,4,21,2019,54.1
Europe,France,,Paris,10,1,2012,55.6
South/Central America & Carribean,Uruguay,,Montvideo,12,1,2018,62.8
North America,US,Tennessee,Memphis,11,29,2011,36.5
Africa,Congo,,Brazzaville,1,28,2017,80.2
North America,US,Mississippi,Tupelo,12,20,2014,41.9
North America,US,Alabama,Birmingham,8,6,2016,84.1
North America,US,North Carolina,Charlotte,11,2,2012,51.2
North America,US,Georgia,Macon,1,21,2012,61.6
Africa,Namibia,,Windhoek,11,25,2015,82.4
South/Central America & Carribean,Brazil,,Sao Paulo,2,20,2018,75.3
Asia,Taiwan,,Taipei,11,1,2014,78.5
Europe,Belarus,,Minsk,8,5,2019,56.4
Europe,Iceland,,Reykjavik,6,27,2019,54.0
Europe,The Netherlands,,Amsterdam,4,9,2012,48.0
North America,Canada,,Regina,11,20,2011,-0.6
North America,US,Nebraska,North Platte,9,10,2019,66.6
North America,US,Ohio,Toledo,7,9,2018,75.1
North America,US,Minnesota,Minneapolis St. Paul,7,27,2013,58.3
Europe,Spain,,Barcelona,11,11,2011,61.6
Europe,Spain,,Madrid,2,15,2019,43.4
North America,US,Florida,Tampa St. Petersburg,1,28,2015,55.7
North America,US,Texas,El Paso,4,2,2015,74.8
North America,US,Connecticut,Hartford Springfield,5,29,2014,54.2
North America,US,Pennsylvania,Wilkes Barre,1,18,2017,37.6
Africa,Kenya,,Nairobi,12,16,2014,66.1
North America,US,Montana,Billings,8,30,2010,57.8
North America,US,Virginia,Roanoke,9,6,2016,69.8
Middle East,Saudi Arabia,,Riyadh,9,8,2014,95.5
North America,US,Arkansas,Little Rock,5,31,2015,71.7
South/Central America & Carribean,Panama,,Panama City,5,10,2018,78.4
North America,US,Illinois,Peoria,11,20,2018,31.7
Asia,China,,Beijing,10,2,2019,70.8
Middle East,Kuwait,,Kuwait,1,28,2016,45.6
North America,US,Vermont,Burlington,6,11,2011,61.2
